,race_id,office,loc_date,state,abbrev,year,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running,prez_GOP,approval_effects_GOP,approval_effects_DEM,nat_UR_effects_GOP,nat_UR_effects_DEM,state_UR_effects_GOP,state_UR_effects_DEM,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white_nh,race_black,race_natamer,race_asian,race_hispanic,percent_male,percent_female,percent_under18,percent_age_18to29,percent_age_30to59,percent_age_60over,percent_race_white,percent_race_black,percent_race_natamer,percent_race_asian,percent_race_hispanic
0,2018_AZ_sen,AZ_sen,AZ_2018,Arizona,AZ,2018,TBD,TBD,1,0,0,0,0,1.0,-8.5,0,3.7,0,4.7,0,3667636,3733489,1838668,1221211,4001177,1521795,2927154,339116,329049,1155312,2374775,0.49555114899999997,0.504448851,0.24843088,0.165003429,0.540617406,0.20561671399999998,0.395501224,0.045819520999999995,0.044459322,0.156099512,0.32086676
1,2018_CA_sen,CA_sen,CA_2018,California,CA,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.1,0,19832180,20127622,9331209,7273591,23576327,7147681,6029585,2327224,386365,12783605,16451449,0.49630326,0.50369674,0.23351489600000003,0.18202269899999998,0.590001097,0.17887178199999998,0.150891263,0.058239127,0.009668841999999999,0.31991162,0.41169996299999995
2,2018_CT_sen,CT_sen,CT_2018,Connecticut,CT,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.2,0,1811850,1897073,797277,595006,2122601,796269,2159956,404258,12550,419122,606098,0.488511085,0.511488915,0.21496186399999997,0.160425547,0.572295785,0.214690087,0.582367442,0.10899606199999999,0.003383732,0.113003694,0.163416172
3,2018_DE_sen,DE_sen,DE_2018,Delaware,DE,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.0,0,478457,510944,214707,166077,557904,221162,543716,224732,5341,81125,101976,0.483582491,0.5164175089999999,0.217007058,0.167856107,0.56388057,0.22353120699999998,0.549540581,0.22713945100000002,0.005398216,0.081994055,0.10306842199999999
4,2018_FL_sen,FL_sen,FL_2018,Florida,FL,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,3.5,0,10302667,10753789,4286692,3393223,11557300,5074659,9967789,3531348,85792,1465261,5456679,0.489287798,0.510712202,0.203580887,0.161148818,0.5488720420000001,0.241002522,0.47338398299999995,0.167708564,0.00407438,0.069587256,0.25914517600000003
5,2018_HI_sen,HI_sen,HI_2018,Hawaii,HI,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,2.2,0,739301,740012,310259,250591,836065,333647,223241,20961,4667,713430,147356,0.49975968600000004,0.500240314,0.209731815,0.169396875,0.56517113,0.225541856,0.150908564,0.014169415,0.003154843,0.48227116200000003,0.099611103
6,2018_IN_sen,IN_sen,IN_2018,Indiana,IN,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,3.5,0,3355547,3450908,1635420,1106707,3901654,1354320,5056369,656487,20580,373491,529844,0.492994812,0.5070051879999999,0.24027485699999998,0.162596682,0.573228501,0.198975825,0.742878488,0.096450649,0.0030236,0.054873057999999995,0.07784434
7,2018_ME_sen,ME_sen,ME_2018,Maine,ME,2018,TBD,TBD,0,1,0,0,0,1.0,-8.5,0,3.7,0,3.3,0,673854,697258,253169,199072,778275,350853,1265142,22865,9744,22790,22995,0.49146532200000004,0.508534678,0.184645018,0.145190181,0.5676232139999999,0.25588938,0.922712368,0.016676245,0.00710664,0.016621545,0.016771058999999998
8,2018_MD_sen,MD_sen,MD_2018,Maryland,MD,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.2,0,2978936,3176268,1350398,1076601,3571623,1204929,2668860,1878608,24418,704910,664805,0.483970312,0.5160296879999999,0.219391266,0.17490906899999997,0.580260703,0.195757769,0.433594077,0.305206456,0.00396705,0.114522606,0.108006981
9,2018_MA_sen,MA_sen,MA_2018,Massachusetts,MA,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,3.6,0,3252878,3453577,1354010,1204262,4021983,1414634,4396802,507153,21918,800986,786794,0.485036879,0.514963121,0.20189653100000002,0.17956759600000002,0.599718182,0.21093618,0.655607471,0.075621621,0.003268195,0.119435082,0.117318911
10,2018_MI_sen,MI_sen,MI_2018,Michigan,MI,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.0,0,4828129,5011668,2142709,1544837,5734598,2197684,7146431,1390458,64829,451094,526343,0.490673639,0.5093263610000001,0.21775947199999998,0.156998869,0.582796373,0.22334647800000001,0.7262782959999999,0.141309623,0.0065884490000000006,0.045843832,0.053491246
11,2018_MS_sen,MS_sen,MI_2018,Mississippi,MS,2018,TBD,TBD,1,0,0,1,0,1.0,-8.5,0,3.7,0,4.0,0,4828129,5011668,2142709,1544837,5734598,2197684,7146431,1390458,64829,451094,526343,0.490673639,0.5093263610000001,0.21775947199999998,0.156998869,0.582796373,0.22334647800000001,0.7262782959999999,0.141309623,0.0065884490000000006,0.045843832,0.053491246
12,2018_MS_sen,MS_sen,MI_2018,Mississippi special election,MS,2018,TBD,TBD,1,0,0,1,0,1.0,-8.5,0,3.7,0,4.0,0,4828129,5011668,2142709,1544837,5734598,2197684,7146431,1390458,64829,451094,526343,0.490673639,0.5093263610000001,0.21775947199999998,0.156998869,0.582796373,0.22334647800000001,0.7262782959999999,0.141309623,0.0065884490000000006,0.045843832,0.053491246
13,2018_MN_sen1,MN_sen1,MN_2018,Minnesota,MN,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,2.8,0,2789333,2822149,1281798,943665,3229281,1115390,4287327,356557,65675,407096,335759,0.497075995,0.502924005,0.228424149,0.168166805,0.5754773870000001,0.19876923800000001,0.764027578,0.063540612,0.011703682,0.072546967,0.059834282999999995
14,2018_MN_sen2,MN_sen2,MN_2018,Minnesota special election,MN,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,2.8,0,2789333,2822149,1281798,943665,3229281,1115390,4287327,356557,65675,407096,335759,0.497075995,0.502924005,0.228424149,0.168166805,0.5754773870000001,0.19876923800000001,0.764027578,0.063540612,0.011703682,0.072546967,0.059834282999999995
15,2018_MO_sen,MO_sen,MO_2018,Missouri,MO,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,3.2,0,3104117,3199783,1423631,1067879,3606991,1321893,4839748,744591,29216,244162,287572,0.492412158,0.5075878420000001,0.225833373,0.169399737,0.572184045,0.209694475,0.767738701,0.11811592800000001,0.0046345909999999995,0.038731896,0.045618109000000004
16,2018_MT_sen,MT_sen,MT_2018,Montana,MT,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,3.6,0,534417,524774,218364,176232,594264,250318,902195,5095,67745,14832,36952,0.504552059,0.495447941,0.206161117,0.166383589,0.5610546160000001,0.236329425,0.851777441,0.004810275,0.063959191,0.01400314,0.034887003
17,2018_NE_sen,NE_sen,NE_2018,Nebraska,NE,2018,TBD,TBD,1,0,0,1,0,1.0,-8.5,0,3.7,0,2.8,0,956652,961751,466404,331706,1093219,378980,1378711,94360,21252,146336,225789,0.49867103,0.50132897,0.24312097100000002,0.172907361,0.569858888,0.197549733,0.71867642,0.049186745,0.011077964,0.07628011400000001,0.117696334
18,2018_NV_sen,NV_sen,NV_2018,Nevada,NV,2018,TBD,TBD,1,0,0,1,0,1.0,-8.5,0,3.7,0,4.5,0,1640068,1622318,787575,539104,1782150,612253,1040004,285145,36576,760343,974526,0.502720402,0.497279598,0.241410734,0.16524838,0.546271962,0.187670312,0.318786312,0.08740382,0.011211426000000002,0.233063469,0.298715725
19,2018_NJ_sen,NJ_sen,NJ_2018,New Jersey,NJ,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.2,0,4437030,4656900,2047339,1399425,5177097,1844737,4063376,1255230,36653,1571622,1905506,0.48791116700000003,0.512088833,0.225132478,0.153885614,0.569291494,0.202853662,0.446822881,0.138029433,0.004030491,0.17282099199999998,0.209536031
20,2018_NM_sen,NM_sen,NM_2018,New Mexico,NM,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.6,0,1115904,1135381,526750,383420,1250049,479236,458957,49116,209013,344826,1103817,0.495674248,0.5043257520000001,0.23397748399999999,0.170311622,0.5552602179999999,0.21287220399999998,0.20386446,0.021816872999999997,0.092841644,0.153168524,0.490305315
21,2018_NY_sen,NY_sen,NY_2018,New York,NY,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.1,0,9561466,10137952,4032787,3598507,11752185,4068101,8762409,3121332,126462,3250439,3856393,0.48536794299999997,0.514632057,0.204716048,0.182670727,0.596575239,0.20650869,0.44480547600000003,0.15844793,0.006419581,0.16500177800000002,0.195761773
22,2018_ND_sen,ND_sen,ND_2018,North Dakota,ND,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,2.7,0,355336,341568,141089,145581,426901,144842,597251,11195,40801,14228,18012,0.509877975,0.490122025,0.20245112699999998,0.208896778,0.6125678720000001,0.20783637300000002,0.85700613,0.016063906,0.058546084000000005,0.020416011,0.025845741000000002
23,2018_OH_sen,OH_sen,OH_2018,Ohio,OH,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.6,0,5728071,5955124,2604681,1838917,6721251,2546572,8989909,1492780,25937,408185,464715,0.490282923,0.509717077,0.222942526,0.157398468,0.575292204,0.21796880000000002,0.769473504,0.127771556,0.002220026,0.034937789,0.039776362999999995
24,2018_PA_sen,PA_sen,PA_2018,Pennsylvania,PA,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.1,0,6398923,6640516,2688102,2215514,7579763,2920029,9363838,1500151,33639,847370,980118,0.490736066,0.509263934,0.20615166,0.16990869,0.581295177,0.223938238,0.7181166309999999,0.115047204,0.002579789,0.064985158,0.075165657
25,2018_RI_sen,RI_sen,RI_2018,Rhode Island,RI,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,3.9,0,512212,543753,204863,197311,649902,228178,666888,70814,6808,108917,162523,0.485065319,0.5149346810000001,0.194005483,0.18685373100000002,0.615457899,0.21608481300000001,0.631543659,0.067060935,0.006447183,0.10314451699999999,0.153909457
26,2018_TN_sen,TN_sen,TN_2018,Tennessee,TN,2018,TBD,TBD,1,0,0,0,0,1.0,-8.5,0,3.7,0,3.6,0,3352087,3519475,1573985,1081137,3878922,1449439,4785822,1156920,23868,334388,423036,0.48782023700000005,0.512179763,0.229057818,0.15733497,0.564489122,0.210932973,0.696467848,0.168363467,0.003473446,0.048662589000000006,0.061563295
27,2018_TX_sen,TX_sen,TX_2018,Texas,TX,2018,TBD,TBD,1,0,0,1,0,1.0,-8.5,0,3.7,0,3.8,0,14167776,14412778,7649076,4934492,16216404,4578615,8329265,3439624,213060,4094185,11693925,0.49571383399999996,0.504286166,0.267632181,0.172652077,0.56739292,0.16020035900000001,0.291431195,0.120348402,0.007454719,0.143250722,0.409156694
28,2018_UT_sen,UT_sen,UT_2018,Utah,UT,2018,TBD,TBD,1,0,0,0,0,1.0,-8.5,0,3.7,0,3.2,0,1603746,1584712,992890,588925,1763548,439704,2205063,38591,35521,327341,483765,0.502984828,0.497015172,0.311401311,0.184705271,0.553103726,0.137904906,0.6915766179999999,0.012103343,0.011140495,0.10266436,0.151723811
29,2018_VT_sen,VT_sen,VT_2018,Vermont,VT,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,2.9,0,316101,323171,114601,107951,379060,156700,589788,8848,2037,12941,12171,0.49447027200000004,0.505529728,0.17926798,0.168865522,0.592955737,0.24512257699999998,0.9225931999999999,0.013840743999999999,0.0031864370000000003,0.020243339,0.019038844
30,2018_VA_sen,VA_sen,VA_2018,Virginia,VA,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,2.9,0,4289253,4449778,1946009,1518338,5084990,1702349,4906593,1680284,35667,937170,873653,0.490815629,0.509184371,0.22268018,0.17374214600000001,0.581871148,0.19479837100000003,0.561457329,0.19227349100000002,0.004081345,0.107239578,0.099971381
31,2018_WA_sen,WA_sen,WA_2018,Washington,WA,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,4.4,0,3682033,3706843,1635363,1264401,4228837,1478997,4488778,279862,112323,1108245,1007215,0.498321125,0.501678875,0.22132770899999998,0.171122238,0.572324803,0.200165357,0.607504849,0.037876126,0.015201636000000001,0.149988307,0.13631505
32,2018_WV_sen,WV_sen,WV_2018,West Virginia,WV,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,5.2,0,941119,947595,375438,270591,1069111,470914,1726698,67838,3932,23763,30259,0.498285606,0.501714394,0.19877969899999998,0.143267324,0.5660523510000001,0.24933049699999998,0.9142188809999999,0.035917561,0.00208184,0.012581577,0.016020954
33,2018_WI_sen,WI_sen,WI_2018,Wisconsin,WI,2018,TBD,TBD,0,1,0,0,1,1.0,-8.5,0,3.7,0,3.0,0,2961087,2984548,1316081,975252,3446354,1238009,4557271,402898,60364,340282,450564,0.49802704,0.50197296,0.22135247100000002,0.164028232,0.579644395,0.20822149399999998,0.766490207,0.067763662,0.010152658,0.057232238,0.075780636
34,2018_WY_sen,WY_sen,WY_2018,Wyoming,WY,2018,TBD,TBD,1,0,0,1,0,1.0,-8.5,0,3.7,0,4.1,0,318687,300814,140625,111859,354510,122904,491485,5569,15098,27124,65081,0.51442532,0.48557468,0.226997212,0.18056306600000002,0.572250892,0.198391932,0.793356266,0.008989493000000001,0.024371227999999998,0.043783626,0.105053906
